Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
Hyperboloid,双曲面,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,9.7.3.2.18,SysML2,9.7
Hyperboloid,双曲面,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,9.7.3.2.18,SysML2,9.4
Icon,アイコン,"Icon metadata can be used to annotate a model element with an image to be used to show render the element on a diagram and/or a small image to be used as an adornment on a graphical or textual rendering. Alternatively, another metadata definition can be annotated with an Icon to indicate that any model element annotated by the containing metadata can be rendered according to the Icon.",Icon metadata can be used to annotate a model element with an image to be used to show render the element on a diagram and/or a small image to be used as an adornment on a graphical or textual rendering.,9.3.5.2.1,SysML2,9.3
Identification,識別,"An element is declared using a keyword indicating the kind of element it is (e.g., part def or attribute). The declaration of an element may also specify a short name and/or name for it, in that order.",`Identification : Element = ( '<' declaredShortName = NAME '>' )? ( declaredName = NAME )?`,8.2.2.2,SysML2,8.2
If Action Usage,Ifアクション使用,"An if action usage evaluates a condition expression and then performs a then clause action usage if the expression evaluates to true, or, optionally, an else clause action usage if the expression evaluates to false.",if selectedSensor != null { assign reading := selectedSensor.reading; } else { assign reading := undefinedValue; },7.17.11,SysML2,7.17
If Action Usage (semantics),Ifアクション使用 (意味論),An IfActionUsage is a kind of ActionUsage that specifies that the thenAction ActionUsage should be performed if the result of the ifArgument Expression is true.,"The checkIfActionUsageSpecialization requires that If an IfActionUsage does not have an elseAction, it specialize the ActionUsage Actions::ifThenActions (see 9.2.10.2.15 ), which is defined by the ActionDefinition Actions::IfThenAction (see 9.2.10.2.14 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.9,SysML2,8.4
ifSubactions,Ifサブアクション,The subactions of this Action that are IfThenActions (including IfThenElseActions).,ifSubactions : IfThenAction [0..*] {subsets subactions},9.2.10.2.4,SysML2,9.2
ifTest,Ifテスト,An evaluation of a Boolean-valued Expression whose result determines whether or not the thenClause is performed.,ifTest : BooleanEvaluation {redefines ifTest},9.2.10.2.14,SysML2,9.2
IfThenAction,If-Thenアクション,An IfThenAction is a Kernel IfThenPerformance that is also an Action.,It is the base type for all IfActionUsages.,9.2.10.2.14,SysML2,9.2
ifThenActions,If-Thenアクション群,ifThenActions is the base feature for all IfActionUsages.,ifThenActions is the base feature for all IfActionUsages.,9.2.10.2.15,SysML2,9.2
IfThenElseAction,If-Then-Elseアクション,An IfThenElseAction is a Kernel IfThenElsePeformance that is also an IfThenAction.,It is the base type for all IfActionUsages that have an elseAction.,9.2.10.2.16,SysML2,9.2
ifThenElseActions,If-Then-Elseアクション群,ifThenElseActions is the base feature for all IfActionUsages that have an elseAction.,ifThenElseActions is the base feature for all IfActionUsages that have an elseAction.,9.2.10.2.17,SysML2,9.2
Image,画像,Image provides the data necessary for the physical definition of a graphical image.,Image provides the data necessary for the physical definition of a graphical image.,9.3.5.2.2,SysML2,9.3
Image Metadata,画像メタデータ,This package provides attributive data and metadata to allow a model element to be annotated with an image to be used in its graphical rendering or as a marker to adorn graphical or textual renderings.,This package provides attributive data and metadata to allow a model element to be annotated with an image to be used in its graphical rendering or as a marker to adorn graphical or textual renderings.,9.3.5.1,SysML2,9.3
impact,影響度,The impact of the risk if it occurs (with 0.0 being no impact and 1.0 being the most severe impact).,impact : Level [0..1],9.3.3.2.4,SysML2,9.3
Implicit specialization,暗黙的特殊化,"if a definition or usage, as explicitly declared, does not directly or indirectly specialize the required base definition or usage, then the declaration is considered to include an implicit subclassification or subsetting of the appropriate base definition or usage.","if a definition or usage, as explicitly declared, does not directly or indirectly specialize the required base definition or usage, then the declaration is considered to include an implicit subclassification or subsetting of the appropriate base definition or usage.",7.6.8,SysML2,7.6
Implicitly subclassifies,暗黙的にサブクラス化する,"If the annotated type is a definition and the baseType is a definition (or KerML classifier), then the annotated definition implicitly subclassifies the baseType.","If the annotated type is a definition and the baseType is a definition (or KerML classifier), then the annotated definition implicitly subclassifies the baseType.",7.27.3,SysML2,7.27
Implicitly subsets,暗黙的にサブセット化する,"If the annotated type is a usage and the baseType is a usage (or KerML feature), then the annotated usage implicitly subsets the baseType.","If the annotated type is a usage and the baseType is a usage (or KerML feature), then the annotated usage implicitly subsets the baseType.",7.27.3,SysML2,7.27
Implied Relationships,暗黙の関係性,A tool may insert certain implied Relationships into the model in order to meet the semantic constraints.,"For specialization constraints applying to Definitions, the implied Relationship is a Subclassification, as given in Table 31.",8.4.1,SysML2,8.4
Import,インポート,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,`Import = visibility = VisibilityIndicator 'import' ( isImportAll ?= 'all' )? ImportDeclaration RelationshipBody`,8.2.2.5.1,SysML2,8.2
import,インポート,"A declaration using the keyword `import` followed by a qualified name, optionally suffixed by ""::*"" and/or ""::**"", to bring memberships from another namespace into the current namespace.","An owned import of a Namespace is denoted using the keyword import followed by a qualified name, optionally suffixed by ""::*"" and/or ""::**"".",7.5.3,SysML2,7.5
Import,インポート,"An Import is an Relationship between its importOwningNamespace and either a Membership (for a MembershipImport) or another Namespace (for a NamespaceImport), which determines a set of Memberships that become importedMemberships of the importOwningNamespace.","An Import is an Relationship between its importOwningNamespace and either a Membership (for a MembershipImport) or another Namespace (for a NamespaceImport), which determines a set of Memberships that become importedMemberships of the importOwningNamespace.",8.3.5.11,SysML2,8.3
Import relationship,インポート関係,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,7.5.1,SysML2,7.5
ImportDeclaration,インポート宣言,The declaration part of an import.,`ImportDeclaration : Import = MembershipImport | NamespaceImport`,8.2.2.5.1,SysML2,8.2
In (direction),入力 (方向),"Things ""outside"" the featuring instance. These usages identify things input to an instance.","in – Things ""outside"" the featuring instance. These usages identify things input to an instance.",7.6.3,SysML2,7.6
include (keyword),include (キーワード),An include use case usage may also be declared using just the keyword include instead of include use case.,An include use case usage may also be declared using just the keyword include instead of include use case.,7.25.3,SysML2,7.25
